Session captcha: 15 | User submitted: 15
Session captcha: 8 | User submitted: 8
Session captcha: 12 | User submitted: 11
Session captcha: 10 | User submitted: 10
Session captcha: 12 | User submitted: 12
Session captcha: 13 | User submitted: 13
Session captcha: 12 | User submitted: 12
Session captcha: 17 | User submitted: 17
Session captcha: 8 | User submitted: 8
Session captcha: 10 | User submitted: 10
Session captcha: 9 | User submitted: 9
Session captcha: 10 | User submitted: 9
Session captcha: 19 | User submitted: 19
Session captcha: 10 | User submitted: 10
Session captcha: 17 | User submitted: 17
Session captcha: 11 | User submitted: 11
Session captcha: 5 | User submitted: 5
Session captcha: 8 | User submitted: 8
Session captcha: 9 | User submitted: 9
Session captcha: 12 | User submitted: 12
Session captcha: 11 | User submitted: 11
Session captcha: 10 | User submitted: 10
Session captcha: 5 | User submitted: 5
Session captcha: 13 | User submitted: 13
Session captcha: 13 | User submitted: 13
Session captcha: 15 | User submitted: 15
Session captcha: 15 | User submitted: 15
Session captcha: 13 | User submitted: 13
Session captcha: 11 | User submitted: 9
Session captcha: 13 | User submitted: 13
Session captcha: 14 | User submitted: 14
